title,published_at,domain,url,votes,timestamp_logged
"Chainlink To Play Frontline Role In Crypto Regulation, LINK To $30 Confirmed?",2025-04-22T23:27:00Z,thecoinrepublic.com,https://cryptopanic.com/news/21250754/Chainlink-To-Play-Frontline-Role-In-Crypto-Regulation-LINK-To-30-Confirmed?mtm_campaign=API-OFA,0,2025-04-23T00:53:10.965818
Trump Appoints Ex-SEC Chair Behind the XRP Lawsuit as New SDNY Attorney,2025-04-22T23:23:40Z,beincrypto.com,https://cryptopanic.com/news/21250794/Trump-Appoints-Ex-SEC-Chair-Behind-the-XRP-Lawsuit-as-New-SDNY-Attorney?mtm_campaign=API-OFA,0,2025-04-23T00:53:10.965818
MANTRA Price Prediction – Can $OM Hit $1 After 300M Token Burn?,2025-04-22T23:23:40Z,en.cryptonomist.ch,https://cryptopanic.com/news/21250767/MANTRA-Price-Prediction-Can-OM-Hit-1-After-300M-Token-Burn?mtm_campaign=API-OFA,0,2025-04-23T00:53:10.965818
Paul Atkins' SEC Chairmanship Sparks Bitcoin Optimism,2025-04-22T23:21:58Z,coincu.com,https://cryptopanic.com/news/21250743/Paul-Atkins-SEC-Chairmanship-Sparks-Bitcoin-Optimism?mtm_campaign=API-OFA,0,2025-04-23T00:53:10.965818
Trump Hints at Lower Tariffs on China Amid Trade Tensions,2025-04-23T00:52:24Z,coincu.com,https://cryptopanic.com/news/21251770/Trump-Hints-at-Lower-Tariffs-on-China-Amid-Trade-Tensions?mtm_campaign=API-OFA,0,2025-04-23T00:53:38.291298
Bitcoin Mining Game 'Miner Wars' Expands With New Features,2025-04-23T00:31:03Z,decrypt.co,https://cryptopanic.com/news/21251732/Bitcoin-Mining-Game-Miner-Wars-Expands-With-New-Features?mtm_campaign=API-OFA,0,2025-04-23T00:53:38.291298
"Cantor Fitzgerald to build $3B Bitcoin venture in partnership with SoftBank, Tether, and Bitfinex",2025-04-23T00:28:20Z,cryptobriefing.com,https://cryptopanic.com/news/21251713/Cantor-Fitzgerald-to-build-3B-Bitcoin-venture-in-partnership-with-SoftBank-Tether-and-Bitfinex?mtm_campaign=API-OFA,0,2025-04-23T00:53:38.291298
Zora Token Launches Amid U.S.–China Tariff Speculations,2025-04-23T00:21:42Z,coincu.com,https://cryptopanic.com/news/21251706/Zora-Token-Launches-Amid-USChina-Tariff-Speculations?mtm_campaign=API-OFA,0,2025-04-23T00:53:38.291298
"DeFi lending protocols gain $2.3B in TVL, fueling token outperformance",2025-04-23T00:15:45Z,cryptoslate.com,https://cryptopanic.com/news/21251680/DeFi-lending-protocols-gain-23B-in-TVL-fueling-token-outperformance?mtm_campaign=API-OFA,0,2025-04-23T00:53:38.291298
"Australian court rules in favor of crypto lender, dismissing ASIC’s appeal",2025-04-23T00:15:17Z,cryptopolitan.com,https://cryptopanic.com/news/21251682/Australian-court-rules-in-favor-of-crypto-lender-dismissing-ASICs-appeal?mtm_campaign=API-OFA,0,2025-04-23T00:53:38.291298
Solana DEX Meteora Sued Over Alleged Pump-and-Dump Meme Coin Launch,2025-04-23T00:04:23Z,decrypt.co,https://cryptopanic.com/news/21251354/Solana-DEX-Meteora-Sued-Over-Alleged-Pump-and-Dump-Meme-Coin-Launch?mtm_campaign=API-OFA,0,2025-04-23T00:53:38.291298
"XRP: Another Battle Incoming, Bitcoin's (BTC) Next Stop Is $94,000, Solana (SOL) Short-Term Rally Confirmed",2025-04-23T00:01:00Z,u.today,https://cryptopanic.com/news/21251378/XRP-Another-Battle-Incoming-Bitcoins-BTC-Next-Stop-Is-94000-Solana-SOL-Short-Term-Rally-Confirmed?mtm_campaign=API-OFA,0,2025-04-23T00:53:38.291298
"Under-the-Radar Altcoin Flashing Same Setup That Preceded 3,797% Explosion for Chainlink, According to Analyst",2025-04-23T00:00:41Z,dailyhodl.com,https://cryptopanic.com/news/21250878/Under-the-Radar-Altcoin-Flashing-Same-Setup-That-Preceded-3797-Explosion-for-Chainlink-According-to-Analyst?mtm_campaign=API-OFA,0,2025-04-23T00:53:38.291298
Bitcoin's Hard Landing: Central Banks to the Rescue?,2025-04-23T00:00:23Z,youtube.com,https://cryptopanic.com/news/21251683/Bitcoins-Hard-Landing-Central-Banks-to-the-Rescue?mtm_campaign=API-OFA,0,2025-04-23T00:53:38.291298
Trump Hints at Lower Tariffs on China Amid Trade Tensions,2025-04-23T00:52:24Z,coincu.com,https://cryptopanic.com/news/21251770/Trump-Hints-at-Lower-Tariffs-on-China-Amid-Trade-Tensions?mtm_campaign=API-OFA,0,2025-04-23T00:56:20.921916
Former SEC Chair Jay Clayton sworn in as interim US attorney for Manhattan,2025-04-23T00:51:51Z,cointelegraph.com,https://cryptopanic.com/news/21251773/Former-SEC-Chair-Jay-Clayton-sworn-in-as-interim-US-attorney-for-Manhattan?mtm_campaign=API-OFA,0,2025-04-23T00:56:20.921916
Bitcoin Mining Game 'Miner Wars' Expands With New Features,2025-04-23T00:31:03Z,decrypt.co,https://cryptopanic.com/news/21251732/Bitcoin-Mining-Game-Miner-Wars-Expands-With-New-Features?mtm_campaign=API-OFA,0,2025-04-23T00:56:20.921916
"Cantor Fitzgerald to build $3B Bitcoin venture in partnership with SoftBank, Tether, and Bitfinex",2025-04-23T00:28:20Z,cryptobriefing.com,https://cryptopanic.com/news/21251713/Cantor-Fitzgerald-to-build-3B-Bitcoin-venture-in-partnership-with-SoftBank-Tether-and-Bitfinex?mtm_campaign=API-OFA,0,2025-04-23T00:56:20.921916
Zora Token Launches Amid U.S.–China Tariff Speculations,2025-04-23T00:21:42Z,coincu.com,https://cryptopanic.com/news/21251706/Zora-Token-Launches-Amid-USChina-Tariff-Speculations?mtm_campaign=API-OFA,0,2025-04-23T00:56:20.921916
"DeFi lending protocols gain $2.3B in TVL, fueling token outperformance",2025-04-23T00:15:45Z,cryptoslate.com,https://cryptopanic.com/news/21251680/DeFi-lending-protocols-gain-23B-in-TVL-fueling-token-outperformance?mtm_campaign=API-OFA,0,2025-04-23T00:56:20.921916
"Australian court rules in favor of crypto lender, dismissing ASIC’s appeal",2025-04-23T00:15:17Z,cryptopolitan.com,https://cryptopanic.com/news/21251682/Australian-court-rules-in-favor-of-crypto-lender-dismissing-ASICs-appeal?mtm_campaign=API-OFA,0,2025-04-23T00:56:20.921916
Solana DEX Meteora Sued Over Alleged Pump-and-Dump Meme Coin Launch,2025-04-23T00:04:23Z,decrypt.co,https://cryptopanic.com/news/21251354/Solana-DEX-Meteora-Sued-Over-Alleged-Pump-and-Dump-Meme-Coin-Launch?mtm_campaign=API-OFA,0,2025-04-23T00:56:20.921916
